"","YYYY","MM","DD","ATMP"
"375",1998,"01","10","20.1"
"376",1998,"01","11","19.6"
"377",1998,"01","12","22.5"
"378",1998,"01","13","23.7"
"379",1998,"01","14","23.7"
"380",1998,"01","15","24.1"
"381",1998,"01","16","23.1"
"382",1998,"01","17","17.2"
"383",1998,"01","18","17.3"
"384",1998,"01","19","21.8"
"385",1998,"01","20","21.6"
"386",1998,"01","21","21.6"
"387",1998,"01","22","23.4"
"388",1998,"01","23","24.4"
"389",1998,"01","24","23"
"390",1998,"01","25","16"
"391",1998,"01","26","23.2"
"392",1998,"01","27","22"
"393",1998,"01","28","17.2"
"394",1998,"01","29","13.4"
"395",1998,"01","30","15.3"
"397",1998,"02","01","21"
"398",1998,"02","02","23"
"399",1998,"02","03","22.1"
"400",1998,"02","04","20.1"
"401",1998,"02","05","17.2"
"402",1998,"02","06","18.8"
"403",1998,"02","07","15.4"
"404",1998,"02","08","13"
"405",1998,"02","09","12.8"
"406",1998,"02","10","14.6"
"407",1998,"02","11","21.7"
"408",1998,"02","12","23"
"409",1998,"02","13","21.1"
"410",1998,"02","14","19.3"
"411",1998,"02","15","22.5"
"412",1998,"02","16","24.3"
"413",1998,"02","17","25"
"414",1998,"02","18","20.2"
"415",1998,"02","19","25.1"
"416",1998,"02","20","24.6"
"417",1998,"02","21","22.2"
"418",1998,"02","22","24.7"
"419",1998,"02","23","24.9"
"420",1998,"02","24","16"
"421",1998,"02","25","16.5"
"422",1998,"02","26","22.3"
"423",1998,"02","27","23.5"
"424",1998,"02","28","24"
"425",1998,"03","01","24.4"
"426",1998,"03","02","19.1"
"427",1998,"03","03","15.6"
"428",1998,"03","04","17.6"
"429",1998,"03","05","20.2"
"430",1998,"03","06","22.5"
"431",1998,"03","07","22.9"
"432",1998,"03","08","25"
"433",1998,"03","09","26"
"434",1998,"03","10","17.4"
"435",1998,"03","11","11"
"436",1998,"03","12","12.4"
"437",1998,"03","13","12.5"
"438",1998,"03","14","15.8"
"439",1998,"03","15","21.8"
"440",1998,"03","16","21.6"
"441",1998,"03","17","22.4"
"442",1998,"03","18","23.5"
"443",1998,"03","19","24.7"
"444",1998,"03","20","22.8"
"445",1998,"03","21","20.8"
"446",1998,"03","22","17.7"
"447",1998,"03","23","14.6"
"448",1998,"03","24","18"
"449",1998,"03","25","22.2"
"450",1998,"03","26","22.4"
"451",1998,"03","27","23"
"452",1998,"03","28","23.6"
"453",1998,"03","29","23.8"
"454",1998,"03","30","24.2"
"456",1998,"04","01","23.8"
"457",1998,"04","02","24.9"
"458",1998,"04","03","24.9"
"459",1998,"04","04","25.2"
"460",1998,"04","05","23.5"
"461",1998,"04","06","21.7"
"462",1998,"04","07","24.5"
"463",1998,"04","08","24.7"
"464",1998,"04","09","25.6"
"465",1998,"04","10","25.1"
"466",1998,"04","11","18.2"
"467",1998,"04","12","17.6"
"468",1998,"04","13","21.5"
"469",1998,"04","14","21.8"
"470",1998,"04","15","23"
"471",1998,"04","16","23.9"
"472",1998,"04","17","24.5"
"473",1998,"04","18","24.5"
"474",1998,"04","19","24.7"
"475",1998,"04","20","24.9"
"476",1998,"04","21","25.3"
"477",1998,"04","22","22.1"
"478",1998,"04","23","19.6"
"479",1998,"04","24","18.4"
"480",1998,"04","25","20"
"481",1998,"04","26","23.5"
"482",1998,"04","27","24.3"
"483",1998,"04","28","24.6"
"484",1998,"04","29","23.8"
"486",1998,"05","01","25.3"
"487",1998,"05","02","24.3"
"488",1998,"05","03","24.7"
"489",1998,"05","04","25.3"
"490",1998,"05","05","25.1"
"491",1998,"05","07","26.2"
"492",1998,"05","08","25.9"
"493",1998,"05","09","26.7"
"494",1998,"05","10","26.5"
"495",1998,"05","11","27.1"
"496",1998,"05","12","22.6"
"497",1998,"05","13","25.5"
"498",1998,"05","14","25.8"
"499",1998,"05","15","23.7"
"500",1998,"05","16","23.4"
"501",1998,"05","17","24.6"
"502",1998,"05","18","25"
"503",1998,"05","19","25.3"
"504",1998,"05","20","26.1"
"505",1998,"05","21","26.2"
"506",1998,"05","22","26.2"
"507",1998,"05","23","26.5"
"508",1998,"05","24","26.7"
"509",1998,"05","25","27.2"
"510",1998,"05","26","27.6"
"511",1998,"05","27","27.2"
"512",1998,"05","28","27.3"
"513",1998,"05","29","26.9"
"515",1998,"05","31","27.8"
"516",1998,"06","01","27.5"
"517",1998,"06","02","28"
"518",1998,"06","03","27.9"
"519",1998,"06","04","27.4"
"520",1998,"06","05","28.5"
"521",1998,"06","06","28.5"
"522",1998,"06","07","28.7"
"523",1998,"06","08","29.1"
"524",1998,"06","09","28.8"
"525",1998,"06","10","28.5"
"526",1998,"06","11","28.5"
"527",1998,"06","12","28.5"
"528",1998,"06","13","28.1"
"529",1998,"06","14","28.7"
"530",1998,"06","15","28.4"
"531",1998,"06","16","29.1"
"532",1998,"06","17","29.2"
"533",1998,"06","18","29.1"
"534",1998,"06","19","29.2"
"535",1998,"06","20","29.3"
"536",1998,"06","21","29"
"537",1998,"06","22","29"
"538",1998,"06","23","28.9"
"539",1998,"06","24","28.6"
"540",1998,"06","25","29.2"
"541",1998,"06","26","28.9"
"542",1998,"06","27","28.6"
"543",1998,"06","28","28.9"
"544",1998,"06","29","29.2"
"546",1998,"07","01","29.7"
"547",1998,"07","02","29.4"
"548",1998,"07","03","29"
"549",1998,"07","04","30.7"
"550",1998,"07","05","28.3"
"551",1998,"07","06","29.3"
"552",1998,"07","07","29.2"
"553",1998,"07","08","29.5"
"554",1998,"07","09","29"
"555",1998,"07","10","29.5"
"556",1998,"07","11","30.1"
"557",1998,"07","12","27.2"
"558",1998,"07","13","28.2"
"559",1998,"07","14","28.1"
"560",1998,"07","15","28.9"
"561",1998,"07","16","29.3"
"562",1998,"07","17","29.1"
"563",1998,"07","18","29.4"
"564",1998,"07","19","29.4"
"565",1998,"07","20","29.3"
"566",1998,"07","21","28.1"
"567",1998,"07","22","28.1"
"568",1998,"07","23","29.1"
"569",1998,"07","24","29.2"
"570",1998,"07","25","29.2"
"571",1998,"07","26","28.9"
"572",1998,"07","27","29.2"
"573",1998,"07","28","29.1"
"574",1998,"07","29","29.2"
"575",1998,"07","30","29.3"
"576",1998,"07","31","29.2"
"577",1998,"08","01","28.8"
"578",1998,"08","02","28.2"
"579",1998,"08","03","29.1"
"580",1998,"08","04","29.1"
"581",1998,"08","05","29.6"
"582",1998,"08","06","29.5"
"583",1998,"08","07","29.4"
"584",1998,"08","08","28.1"
"585",1998,"08","09","29.8"
"586",1998,"08","10","29.9"
"587",1998,"08","11","29.6"
"588",1998,"08","12","29.2"
"589",1998,"08","13","29.7"
"590",1998,"08","14","29.3"
"591",1998,"08","15","30.1"
"592",1998,"08","16","29.3"
"593",1998,"08","17","29.8"
"594",1998,"08","18","29"
"595",1998,"08","19","28.2"
"596",1998,"08","20","29.5"
"597",1998,"08","21","29.3"
"598",1998,"08","22","28.6"
"599",1998,"08","23","29.2"
"600",1998,"08","24","27.6"
"601",1998,"08","25","27.5"
"602",1998,"08","26","29.7"
"603",1998,"08","27","29"
"604",1998,"08","27","29"
"605",1998,"08","27","29"
"606",1998,"08","28","28.8"
"607",1998,"08","29","29.2"
"608",1998,"08","30","28.9"
"609",1998,"08","31","29.1"
"610",1998,"09","01","29.1"
"611",1998,"09","02","29.2"
"612",1998,"09","03","29.8"
"613",1998,"09","04","29.9"
"614",1998,"09","05","25.8"
"615",1998,"09","06","28.4"
"616",1998,"09","07","29"
"617",1998,"09","08","29.2"
"618",1998,"09","09","29.3"
"619",1998,"09","10","29.4"
"620",1998,"09","11","27.5"
"621",1998,"09","12","27.6"
"622",1998,"09","13","27.6"
"623",1998,"09","14","28.4"
"624",1998,"09","15","27.1"
"625",1998,"09","16","25.8"
"626",1998,"09","17","26.9"
"627",1998,"09","18","24.7"
"628",1998,"09","19","28.1"
"629",1998,"09","20","28.6"
"630",1998,"09","21","28.6"
"631",1998,"09","22","28.6"
"632",1998,"09","23","27.8"
"633",1998,"09","24","28.8"
"634",1998,"09","25","27.8"
"635",1998,"09","26","28.6"
"636",1998,"09","27","28"
"637",1998,"09","28","28"
"638",1998,"09","29","27.7"
"639",1998,"09","30","28.1"
"640",1998,"10","01","28.2"
"641",1998,"10","02","28.2"
"642",1998,"10","03","28.6"
"643",1998,"10","04","28.6"
"644",1998,"10","05","28.3"
"645",1998,"10","06","28.7"
"646",1998,"10","07","27.6"
"647",1998,"10","08","28.1"
"648",1998,"10","09","28.1"
"649",1998,"10","10","27.8"
"650",1998,"10","11","28.1"
"651",1998,"10","12","27.9"
"652",1998,"10","13","27.7"
"653",1998,"10","14","26.9"
"654",1998,"10","15","27.6"
"655",1998,"10","16","27.7"
"656",1998,"10","17","27.6"
"657",1998,"10","18","27.6"
"658",1998,"10","19","27.4"
"659",1998,"10","20","28.1"
"660",1998,"10","21","28"
"661",1998,"10","22","26.2"
"662",1998,"10","23","25.4"
"663",1998,"10","24","25.9"
"664",1998,"10","25","26"
"665",1998,"10","26","26"
"667",1998,"10","28","25.6"
"668",1998,"10","29","25.6"
"669",1998,"10","30","25.1"
"670",1998,"10","31","25.2"
"671",1998,"11","01","23.8"
"672",1998,"11","02","25.5"
"673",1998,"11","03","25.9"
"674",1998,"11","04","25.3"
"675",1998,"11","05","27.3"
"676",1998,"11","06","18.2"
"677",1998,"11","07","19.2"
"678",1998,"11","08","24.4"
"679",1998,"11","09","24.5"
"680",1998,"11","10","25.7"
"681",1998,"11","11","25.9"
"682",1998,"11","12","25.9"
"683",1998,"11","13","25.7"
"684",1998,"11","14","25.4"
"685",1998,"11","15","25.5"
"686",1998,"11","16","24.5"
"687",1998,"11","17","26.5"
"688",1998,"11","18","25.8"
"689",1998,"11","19","26.5"
"690",1998,"11","20","26.1"
"691",1998,"11","21","26.3"
"692",1998,"11","22","26.4"
"693",1998,"11","23","25.9"
"694",1998,"11","24","25.6"
"695",1998,"11","25","23.8"
"696",1998,"11","26","25.5"
"697",1998,"11","27","23.4"
"698",1998,"11","28","22.9"
"699",1998,"11","29","24.8"
"700",1998,"11","30","25.3"
"701",1998,"12","01","25.3"
"702",1998,"12","02","24.9"
"703",1998,"12","03","25.3"
"704",1998,"12","04","25.2"
"705",1998,"12","05","25.3"
"706",1998,"12","06","24.6"
"707",1998,"12","07","25.2"
"708",1998,"12","08","25"
"709",1998,"12","09","25"
"710",1998,"12","10","25.2"
"711",1998,"12","11","25.9"
"712",1998,"12","12","25.9"
"713",1998,"12","13","25.9"
"714",1998,"12","14","23"
"715",1998,"12","15","16.1"
"716",1998,"12","16","15.9"
"717",1998,"12","17","16"
"718",1998,"12","18","16.6"
"719",1998,"12","19","24.4"
"720",1998,"12","20","25.1"
"721",1998,"12","21","25.2"
"722",1998,"12","22","24.7"
"723",1998,"12","23","24.7"
"725",1998,"12","25","24.9"
"726",1998,"12","26","24.7"
"727",1998,"12","27","22.6"
"728",1998,"12","28","25.1"
"729",1998,"12","29","23.6"
"730",1998,"12","30","22.7"
"731",1998,"12","31","22"
"732",1999,"01","01","23.6"
"733",1999,"01","02","25"
"734",1999,"01","03","20.8"
"735",1999,"01","04","18.5"
"736",1999,"01","05","11.3"
"737",1999,"01","06","10.6"
"738",1999,"01","07","16.6"
"739",1999,"01","08","23"
"740",1999,"01","09","24.2"
"741",1999,"01","10","18.8"
"742",1999,"01","11","13.3"
"743",1999,"01","12","17.5"
"744",1999,"01","13","22.9"
"745",1999,"01","14","23.4"
"746",1999,"01","15","24"
"747",1999,"01","16","22.8"
"748",1999,"01","17","23.9"
"749",1999,"01","18","24"
"750",1999,"01","19","23.5"
"751",1999,"01","20","21.8"
"752",1999,"01","21","23.8"
"753",1999,"01","22","24.1"
"754",1999,"01","23","25"
"755",1999,"01","24","25.2"
"756",1999,"01","25","17.6"
"757",1999,"01","26","22.5"
"758",1999,"01","27","23.5"
"759",1999,"01","28","23.4"
"760",1999,"01","29","23.9"
"761",1999,"01","30","24.1"
"762",1999,"01","31","23.7"
"764",1999,"02","02","23.1"
"765",1999,"02","03","23.8"
"766",1999,"02","04","24"
"767",1999,"02","05","21.5"
"768",1999,"02","06","23.7"
"769",1999,"02","07","23.6"
"770",1999,"02","08","23.9"
"771",1999,"02","09","22.5"
"772",1999,"02","10","22.8"
"773",1999,"02","11","23.8"
"774",1999,"02","12","24"
"775",1999,"02","13","21.9"
"776",1999,"02","14","13"
"777",1999,"02","15","16"
"778",1999,"02","16","21"
"779",1999,"02","17","22.4"
"780",1999,"02","18","23.8"
"781",1999,"02","19","22.6"
"782",1999,"02","20","19.2"
"783",1999,"02","21","17"
"784",1999,"02","22","14"
"785",1999,"02","23","13.2"
"786",1999,"02","24","16.1"
"787",1999,"02","25","15.5"
"788",1999,"02","26","16.1"
"789",1999,"02","27","20"
"790",1999,"02","28","22.2"
"791",1999,"03","01","17.9"
"792",1999,"03","02","17.8"
"793",1999,"03","03","23.6"
"794",1999,"03","04","15.2"
"795",1999,"03","05","19.6"
"796",1999,"03","06","21.8"
"797",1999,"03","07","19.7"
"798",1999,"03","08","22.1"
"799",1999,"03","09","20.7"
"800",1999,"03","10","21.7"
"801",1999,"03","11","17.4"
"802",1999,"03","12","19.9"
"803",1999,"03","13","22.6"
"804",1999,"03","14","24.2"
"805",1999,"03","15","22.2"
"807",1999,"03","17","21.8"
"808",1999,"03","18","22.5"
"809",1999,"03","19","22.3"
"810",1999,"03","20","22.4"
"811",1999,"03","21","22.8"
"812",1999,"03","22","17.2"
"813",1999,"03","23","20.5"
"814",1999,"03","24","23.2"
"816",1999,"03","26","22.8"
"817",1999,"03","27","20.4"
"818",1999,"03","28","23.6"
"819",1999,"03","29","23.3"
"820",1999,"03","30","22.5"
"822",1999,"04","01","24.4"
"823",1999,"04","02","24.4"
"824",1999,"04","03","24.4"
"825",1999,"04","04","24.3"
"826",1999,"04","05","24.4"
"827",1999,"04","06","24.3"
"828",1999,"04","07","24.1"
"829",1999,"04","08","23.7"
"830",1999,"04","09","24"
"831",1999,"04","10","24.7"
"832",1999,"04","11","24.8"
"833",1999,"04","12","24"
"834",1999,"04","13","20.6"
"835",1999,"04","14","24.7"
"836",1999,"04","15","25.8"
"837",1999,"04","16","26.1"
"838",1999,"04","17","26.1"
"839",1999,"04","18","18.8"
"840",1999,"04","19","18.4"
"841",1999,"04","20","21.3"
"842",1999,"04","21","23.2"
"843",1999,"04","22","24.9"
"844",1999,"04","23","25.7"
"845",1999,"04","24","25.7"
"846",1999,"04","25","24.8"
"847",1999,"04","26","25.5"
"848",1999,"04","27","26.1"
"849",1999,"04","28","24.8"
"850",1999,"04","29","25.4"
"851",1999,"04","30","25.3"
"852",1999,"05","01","18.6"
"853",1999,"05","02","18.6"
"854",1999,"05","03","21.9"
"855",1999,"05","04","24.6"
"856",1999,"05","05","25.7"
"857",1999,"05","06","26"
"858",1999,"05","07","25.6"
"859",1999,"05","08","25.9"
"860",1999,"05","09","26"
"861",1999,"05","10","24.7"
"862",1999,"05","11","25.2"
"863",1999,"05","12","25.9"
"864",1999,"05","13","25.4"
"865",1999,"05","14","25.8"
"866",1999,"05","15","26.6"
"867",1999,"05","16","26.2"
"868",1999,"05","17","25.8"
"869",1999,"05","18","24.7"
"870",1999,"05","19","27.6"
"871",1999,"05","20","26.8"
"872",1999,"05","21","26.5"
"873",1999,"05","22","26.5"
"874",1999,"05","23","26.3"
"875",1999,"05","24","26.6"
"876",1999,"05","25","26.2"
"877",1999,"05","26","26.3"
"878",1999,"05","27","27.6"
"879",1999,"05","28","27.3"
"880",1999,"05","29","27.6"
"881",1999,"05","30","26.5"
"882",1999,"05","31","25.8"
"883",1999,"06","01","26.6"
"884",1999,"06","02","26.1"
"885",1999,"06","03","27"
"886",1999,"06","04","26.1"
"887",1999,"06","05","26.8"
"888",1999,"06","06","26.3"
"889",1999,"06","07","27.1"
"890",1999,"06","08","26.3"
"891",1999,"06","09","27.7"
"892",1999,"06","10","27.9"
"893",1999,"06","11","28"
"894",1999,"06","12","27.6"
"895",1999,"06","13","27.2"
"896",1999,"06","14","27.7"
"897",1999,"06","15","27.3"
"898",1999,"06","16","27.3"
"899",1999,"06","17","27.3"
"900",1999,"06","18","28.2"
